ID,Title,Description,Status,Urgency,DeviceID,DeviceImage,ResolutionSignatureImage,customer_ID,serviceWorker_ID
40141,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,247
40142,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,DWXXYYZZ0011,,,1001,248
40143,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,248
40144,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,248
40145,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,E23344556677,,,1001,249
40146,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,249
40147,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,249
40148,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,F89900AABBCC,,,1001,250
40149,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,250
40150,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,250
